DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
04.01.2021;23:30;23:45;51,720;;51,720
04.01.2021;23:45;00:00;43,120;;43,120
05.01.2021;00:00;00:15;42,260;;42,260
05.01.2021;00:15;00:30;49,690;;49,690
05.01.2021;00:30;00:45;72,820;;72,820
05.01.2021;00:45;01:00;61,560;;61,560
05.01.2021;01:00;01:15;47,210;;47,210
05.01.2021;01:15;01:30;51,400;;51,400
05.01.2021;01:30;01:45;50,730;;50,730
05.01.2021;01:45;02:00;44,810;;44,810
05.01.2021;02:00;02:15;54,200;;54,200
05.01.2021;02:15;02:30;58,580;;58,580
05.01.2021;02:30;02:45;78,540;;78,540
05.01.2021;02:45;03:00;67,510;;67,510
05.01.2021;03:00;03:15;53,460;;53,460
05.01.2021;03:15;03:30;45,970;;45,970
05.01.2021;03:30;03:45;47,360;;47,360
05.01.2021;03:45;04:00;47,190;;47,190
05.01.2021;04:00;04:15;39,940;;39,940
05.01.2021;04:15;04:30;49,070;;49,070
05.01.2021;04:30;04:45;52,000;;52,000
05.01.2021;04:45;05:00;53,360;;53,360
05.01.2021;05:00;05:15;54,950;;54,950
05.01.2021;05:15;05:30;60,090;;60,090
05.01.2021;05:30;05:45;65,300;;65,300
05.01.2021;05:45;06:00;52,080;;52,080
05.01.2021;06:00;06:15;57,140;;57,140
05.01.2021;06:15;06:30;55,540;;55,540
05.01.2021;06:30;06:45;64,240;;64,240
05.01.2021;06:45;07:00;57,710;;57,710
05.01.2021;07:00;07:15;43,340;;43,340
05.01.2021;07:15;07:30;63,900;;63,900
05.01.2021;07:30;07:45;63,830;;63,830
05.01.2021;07:45;08:00;59,030;;59,030
05.01.2021;08:00;08:15;72,020;;72,020
05.01.2021;08:15;08:30;69,540;;69,540
05.01.2021;08:30;08:45;76,080;;76,080
05.01.2021;08:45;09:00;79,680;;79,680
05.01.2021;09:00;09:15;61,240;;61,240
05.01.2021;09:15;09:30;60,160;;60,160
05.01.2021;09:30;09:45;61,910;;61,910
05.01.2021;09:45;10:00;57,590;;57,590
05.01.2021;10:00;10:15;83,050;;83,050
05.01.2021;10:15;10:30;76,960;;76,960
05.01.2021;10:30;10:45;55,540;;55,540
05.01.2021;10:45;11:00;85,720;;85,720
05.01.2021;11:00;11:15;60,220;;60,220
05.01.2021;11:15;11:30;65,540;;65,540
05.01.2021;11:30;11:45;65,410;;65,410
05.01.2021;11:45;12:00;77,110;;77,110
05.01.2021;12:00;12:15;81,200;;81,200
05.01.2021;12:15;12:30;96,830;;96,830
05.01.2021;12:30;12:45;91,430;;91,430
05.01.2021;12:45;13:00;84,890;;84,890
05.01.2021;13:00;13:15;73,180;;73,180
05.01.2021;13:15;13:30;70,080;;70,080
05.01.2021;13:30;13:45;67,260;;67,260
05.01.2021;13:45;14:00;64,450;;64,450
05.01.2021;14:00;14:15;81,150;;81,150
05.01.2021;14:15;14:30;83,190;;83,190
05.01.2021;14:30;14:45;83,080;;83,080
05.01.2021;14:45;15:00;88,370;;88,370
05.01.2021;15:00;15:15;76,950;;76,950
05.01.2021;15:15;15:30;76,950;;76,950
05.01.2021;15:30;15:45;75,540;;75,540
05.01.2021;15:45;16:00;70,630;;70,630
05.01.2021;16:00;16:15;68,340;;68,340
05.01.2021;16:15;16:30;70,750;;70,750
05.01.2021;16:30;16:45;70,970;;70,970
05.01.2021;16:45;17:00;74,460;;74,460
05.01.2021;17:00;17:15;66,470;;66,470
05.01.2021;17:15;17:30;86,090;;86,090
05.01.2021;17:30;17:45;73,250;;73,250
05.01.2021;17:45;18:00;63,940;;63,940
05.01.2021;18:00;18:15;72,200;;72,200
05.01.2021;18:15;18:30;57,390;;57,390
05.01.2021;18:30;18:45;60,520;;60,520
05.01.2021;18:45;19:00;66,470;;66,470
05.01.2021;19:00;19:15;68,920;;68,920
05.01.2021;19:15;19:30;68,280;;68,280
05.01.2021;19:30;19:45;58,070;;58,070
05.01.2021;19:45;20:00;41,100;;41,100
05.01.2021;20:00;20:15;55,810;;55,810
05.01.2021;20:15;20:30;51,710;;51,710
05.01.2021;20:30;20:45;47,900;;47,900
05.01.2021;20:45;21:00;47,660;;47,660
05.01.2021;21:00;21:15;60,060;;60,060
05.01.2021;21:15;21:30;55,360;;55,360
05.01.2021;21:30;21:45;42,640;;42,640
05.01.2021;21:45;22:00;39,820;;39,820
05.01.2021;22:00;22:15;53,620;;53,620
05.01.2021;22:15;22:30;47,180;;47,180
05.01.2021;22:30;22:45;39,580;;39,580
05.01.2021;22:45;23:00;46,360;;46,360
05.01.2021;23:00;23:15;59,290;;59,290
05.01.2021;23:15;23:30;59,940;;59,940
05.01.2021;23:30;23:45;49,250;;49,250
05.01.2021;23:45;00:00;43,950;;43,950
06.01.2021;00:00;00:15;25,780;;25,780
06.01.2021;00:15;00:30;58,280;;58,280
06.01.2021;00:30;00:45;51,940;;51,940
06.01.2021;00:45;01:00;51,540;;51,540
06.01.2021;01:00;01:15;65,290;;65,290
06.01.2021;01:15;01:30;57,470;;57,470
06.01.2021;01:30;01:45;55,740;;55,740
06.01.2021;01:45;02:00;48,930;;48,930
06.01.2021;02:00;02:15;46,380;;46,380
06.01.2021;02:15;02:30;47,500;;47,500
06.01.2021;02:30;02:45;43,230;;43,230
06.01.2021;02:45;03:00;41,410;;41,410
06.01.2021;03:00;03:15;44,760;;44,760
06.01.2021;03:15;03:30;44,100;;44,100
06.01.2021;03:30;03:45;46,380;;46,380
06.01.2021;03:45;04:00;45,020;;45,020
06.01.2021;04:00;04:15;30,170;;30,170
06.01.2021;04:15;04:30;45,890;;45,890
06.01.2021;04:30;04:45;52,890;;52,890
06.01.2021;04:45;05:00;48,190;;48,190
06.01.2021;05:00;05:15;48,340;;48,340
06.01.2021;05:15;05:30;58,430;;58,430
06.01.2021;05:30;05:45;70,600;;70,600
06.01.2021;05:45;06:00;70,960;;70,960
06.01.2021;06:00;06:15;57,140;;57,140
06.01.2021;06:15;06:30;67,250;;67,250
06.01.2021;06:30;06:45;57,890;;57,890
06.01.2021;06:45;07:00;58,400;;58,400
06.01.2021;07:00;07:15;58,660;;58,660
06.01.2021;07:15;07:30;53,690;;53,690
06.01.2021;07:30;07:45;47,620;;47,620
06.01.2021;07:45;08:00;49,150;;49,150
06.01.2021;08:00;08:15;41,930;;41,930
06.01.2021;08:15;08:30;61,270;;61,270
06.01.2021;08:30;08:45;55,890;;55,890
06.01.2021;08:45;09:00;55,500;;55,500
06.01.2021;09:00;09:15;72,310;;72,310
06.01.2021;09:15;09:30;49,420;;49,420
06.01.2021;09:30;09:45;54,050;;54,050
06.01.2021;09:45;10:00;55,520;;55,520
06.01.2021;10:00;10:15;65,670;;65,670
06.01.2021;10:15;10:30;70,980;;70,980
06.01.2021;10:30;10:45;74,450;;74,450
06.01.2021;10:45;11:00;68,920;;68,920
06.01.2021;11:00;11:15;60,000;;60,000
06.01.2021;11:15;11:30;60,180;;60,180
06.01.2021;11:30;11:45;58,580;;58,580
06.01.2021;11:45;12:00;61,350;;61,350
06.01.2021;12:00;12:15;75,490;;75,490
06.01.2021;12:15;12:30;80,640;;80,640
06.01.2021;12:30;12:45;75,760;;75,760
06.01.2021;12:45;13:00;68,810;;68,810
06.01.2021;13:00;13:15;67,410;;67,410
06.01.2021;13:15;13:30;66,040;;66,040
06.01.2021;13:30;13:45;56,590;;56,590
06.01.2021;13:45;14:00;50,660;;50,660
06.01.2021;14:00;14:15;52,620;;52,620
06.01.2021;14:15;14:30;50,340;;50,340
06.01.2021;14:30;14:45;59,320;;59,320
06.01.2021;14:45;15:00;61,410;;61,410
06.01.2021;15:00;15:15;59,240;;59,240
06.01.2021;15:15;15:30;57,460;;57,460
06.01.2021;15:30;15:45;59,570;;59,570
06.01.2021;15:45;16:00;56,720;;56,720
06.01.2021;16:00;16:15;63,380;;63,380
06.01.2021;16:15;16:30;61,280;;61,280
06.01.2021;16:30;16:45;65,060;;65,060
06.01.2021;16:45;17:00;72,590;;72,590
06.01.2021;17:00;17:15;67,440;;67,440
06.01.2021;17:15;17:30;76,100;;76,100
06.01.2021;17:30;17:45;76,940;;76,940
06.01.2021;17:45;18:00;74,690;;74,690
06.01.2021;18:00;18:15;72,510;;72,510
06.01.2021;18:15;18:30;74,800;;74,800
06.01.2021;18:30;18:45;70,820;;70,820
06.01.2021;18:45;19:00;70,480;;70,480
06.01.2021;19:00;19:15;76,760;;76,760
06.01.2021;19:15;19:30;71,370;;71,370
06.01.2021;19:30;19:45;75,220;;75,220
06.01.2021;19:45;20:00;75,010;;75,010
06.01.2021;20:00;20:15;75,720;;75,720
06.01.2021;20:15;20:30;72,930;;72,930
06.01.2021;20:30;20:45;69,110;;69,110
06.01.2021;20:45;21:00;54,540;;54,540
06.01.2021;21:00;21:15;70,510;;70,510
06.01.2021;21:15;21:30;76,900;;76,900
06.01.2021;21:30;21:45;63,340;;63,340
06.01.2021;21:45;22:00;45,280;;45,280
06.01.2021;22:00;22:15;65,520;;65,520
06.01.2021;22:15;22:30;67,810;;67,810
06.01.2021;22:30;22:45;51,800;;51,800
06.01.2021;22:45;23:00;44,950;;44,950
06.01.2021;23:00;23:15;61,720;;61,720
06.01.2021;23:15;23:30;62,440;;62,440
06.01.2021;23:30;23:45;53,550;;53,550
06.01.2021;23:45;00:00;52,470;;52,470
07.01.2021;00:00;00:15;61,220;;61,220
07.01.2021;00:15;00:30;51,790;;51,790
07.01.2021;00:30;00:45;50,690;;50,690
07.01.2021;00:45;01:00;40,440;;40,440
07.01.2021;01:00;01:15;56,110;;56,110
07.01.2021;01:15;01:30;52,360;;52,360
07.01.2021;01:30;01:45;53,450;;53,450
07.01.2021;01:45;02:00;44,320;;44,320
07.01.2021;02:00;02:15;52,680;;52,680
07.01.2021;02:15;02:30;48,370;;48,370
07.01.2021;02:30;02:45;53,380;;53,380
07.01.2021;02:45;03:00;55,660;;55,660
07.01.2021;03:00;03:15;45,300;;45,300
07.01.2021;03:15;03:30;46,670;;46,670
07.01.2021;03:30;03:45;44,200;;44,200
07.01.2021;03:45;04:00;48,480;;48,480
07.01.2021;04:00;04:15;41,430;;41,430
07.01.2021;04:15;04:30;48,430;;48,430
07.01.2021;04:30;04:45;54,340;;54,340
07.01.2021;04:45;05:00;67,970;;67,970
07.01.2021;05:00;05:15;51,770;;51,770
07.01.2021;05:15;05:30;48,740;;48,740
07.01.2021;05:30;05:45;51,280;;51,280
07.01.2021;05:45;06:00;53,540;;53,540
07.01.2021;06:00;06:15;46,730;;46,730
07.01.2021;06:15;06:30;62,900;;62,900
07.01.2021;06:30;06:45;73,440;;73,440
07.01.2021;06:45;07:00;83,820;;83,820
07.01.2021;07:00;07:15;55,880;;55,880
07.01.2021;07:15;07:30;70,970;;70,970
07.01.2021;07:30;07:45;88,900;;88,900
07.01.2021;07:45;08:00;122,000;;122,000
07.01.2021;08:00;08:15;105,440;;105,440
07.01.2021;08:15;08:30;117,200;;117,200
07.01.2021;08:30;08:45;112,040;;112,040
07.01.2021;08:45;09:00;126,560;;126,560
07.01.2021;09:00;09:15;95,140;;95,140
07.01.2021;09:15;09:30;100,260;;100,260
07.01.2021;09:30;09:45;106,030;;106,030
07.01.2021;09:45;10:00;103,030;;103,030
07.01.2021;10:00;10:15;94,330;;94,330
07.01.2021;10:15;10:30;94,770;;94,770
07.01.2021;10:30;10:45;95,950;;95,950
07.01.2021;10:45;11:00;107,460;;107,460
07.01.2021;11:00;11:15;98,420;;98,420
07.01.2021;11:15;11:30;103,260;;103,260
07.01.2021;11:30;11:45;110,800;;110,800
07.01.2021;11:45;12:00;105,780;;105,780
07.01.2021;12:00;12:15;109,490;;109,490
07.01.2021;12:15;12:30;103,430;;103,430
07.01.2021;12:30;12:45;100,270;;100,270
07.01.2021;12:45;13:00;123,560;;123,560
07.01.2021;13:00;13:15;103,240;;103,240
07.01.2021;13:15;13:30;81,060;;81,060
07.01.2021;13:30;13:45;68,950;;68,950
07.01.2021;13:45;14:00;50,360;;50,360
07.01.2021;14:00;14:15;53,660;;53,660
07.01.2021;14:15;14:30;61,250;;61,250
07.01.2021;14:30;14:45;58,900;;58,900
07.01.2021;14:45;15:00;69,390;;69,390
07.01.2021;15:00;15:15;65,550;;65,550
07.01.2021;15:15;15:30;73,040;;73,040
07.01.2021;15:30;15:45;71,300;;71,300
07.01.2021;15:45;16:00;68,980;;68,980
07.01.2021;16:00;16:15;53,420;;53,420
07.01.2021;16:15;16:30;69,260;;69,260
07.01.2021;16:30;16:45;55,850;;55,850
07.01.2021;16:45;17:00;53,370;;53,370
07.01.2021;17:00;17:15;55,200;;55,200
07.01.2021;17:15;17:30;60,490;;60,490
07.01.2021;17:30;17:45;60,980;;60,980
07.01.2021;17:45;18:00;67,120;;67,120
07.01.2021;18:00;18:15;83,160;;83,160
07.01.2021;18:15;18:30;69,410;;69,410
07.01.2021;18:30;18:45;64,410;;64,410
07.01.2021;18:45;19:00;59,890;;59,890
07.01.2021;19:00;19:15;90,920;;90,920
07.01.2021;19:15;19:30;75,840;;75,840
07.01.2021;19:30;19:45;64,800;;64,800
07.01.2021;19:45;20:00;61,010;;61,010
07.01.2021;20:00;20:15;75,220;;75,220
07.01.2021;20:15;20:30;60,490;;60,490
07.01.2021;20:30;20:45;52,570;;52,570
07.01.2021;20:45;21:00;44,740;;44,740
07.01.2021;21:00;21:15;67,920;;67,920
07.01.2021;21:15;21:30;55,410;;55,410
07.01.2021;21:30;21:45;40,200;;40,200
07.01.2021;21:45;22:00;32,160;;32,160
07.01.2021;22:00;22:15;72,910;;72,910
07.01.2021;22:15;22:30;65,700;;65,700
07.01.2021;22:30;22:45;46,610;;46,610
07.01.2021;22:45;23:00;46,020;;46,020
07.01.2021;23:00;23:15;67,270;;67,270
07.01.2021;23:15;23:30;53,250;;53,250
07.01.2021;23:30;23:45;49,030;;49,030
07.01.2021;23:45;00:00;46,140;;46,140
08.01.2021;00:00;00:15;58,850;;58,850
08.01.2021;00:15;00:30;45,600;;45,600
08.01.2021;00:30;00:45;45,440;;45,440
08.01.2021;00:45;01:00;38,330;;38,330
08.01.2021;01:00;01:15;52,010;;52,010
08.01.2021;01:15;01:30;45,150;;45,150
08.01.2021;01:30;01:45;44,220;;44,220
08.01.2021;01:45;02:00;39,230;;39,230
08.01.2021;02:00;02:15;51,790;;51,790
08.01.2021;02:15;02:30;47,710;;47,710
08.01.2021;02:30;02:45;51,310;;51,310
08.01.2021;02:45;03:00;52,130;;52,130
08.01.2021;03:00;03:15;45,440;;45,440
08.01.2021;03:15;03:30;47,320;;47,320
08.01.2021;03:30;03:45;49,360;;49,360
08.01.2021;03:45;04:00;48,410;;48,410
08.01.2021;04:00;04:15;34,960;;34,960
08.01.2021;04:15;04:30;38,280;;38,280
08.01.2021;04:30;04:45;43,770;;43,770
08.01.2021;04:45;05:00;41,560;;41,560
08.01.2021;05:00;05:15;31,360;;31,360
08.01.2021;05:15;05:30;31,720;;31,720
08.01.2021;05:30;05:45;48,780;;48,780
08.01.2021;05:45;06:00;57,170;;57,170
08.01.2021;06:00;06:15;41,600;;41,600
08.01.2021;06:15;06:30;48,030;;48,030
08.01.2021;06:30;06:45;58,800;;58,800
08.01.2021;06:45;07:00;60,600;;60,600
08.01.2021;07:00;07:15;48,040;;48,040
08.01.2021;07:15;07:30;40,660;;40,660
08.01.2021;07:30;07:45;50,720;;50,720
08.01.2021;07:45;08:00;74,270;;74,270
08.01.2021;08:00;08:15;51,480;;51,480
08.01.2021;08:15;08:30;72,780;;72,780
08.01.2021;08:30;08:45;63,160;;63,160
08.01.2021;08:45;09:00;59,260;;59,260
08.01.2021;09:00;09:15;51,590;;51,590
08.01.2021;09:15;09:30;71,450;;71,450
08.01.2021;09:30;09:45;75,960;;75,960
08.01.2021;09:45;10:00;80,850;;80,850
08.01.2021;10:00;10:15;59,270;;59,270
08.01.2021;10:15;10:30;61,560;;61,560
08.01.2021;10:30;10:45;68,720;;68,720
08.01.2021;10:45;11:00;65,300;;65,300
08.01.2021;11:00;11:15;76,620;;76,620
08.01.2021;11:15;11:30;76,010;;76,010
08.01.2021;11:30;11:45;75,890;;75,890
08.01.2021;11:45;12:00;87,670;;87,670
08.01.2021;12:00;12:15;90,570;;90,570
08.01.2021;12:15;12:30;96,450;;96,450
08.01.2021;12:30;12:45;82,300;;82,300
08.01.2021;12:45;13:00;85,030;;85,030
08.01.2021;13:00;13:15;84,380;;84,380
08.01.2021;13:15;13:30;74,220;;74,220
08.01.2021;13:30;13:45;58,060;;58,060
08.01.2021;13:45;14:00;48,260;;48,260
08.01.2021;14:00;14:15;53,230;;53,230
08.01.2021;14:15;14:30;53,800;;53,800
08.01.2021;14:30;14:45;74,280;;74,280
08.01.2021;14:45;15:00;64,250;;64,250
08.01.2021;15:00;15:15;63,670;;63,670
08.01.2021;15:15;15:30;51,370;;51,370
08.01.2021;15:30;15:45;57,240;;57,240
08.01.2021;15:45;16:00;84,040;;84,040
08.01.2021;16:00;16:15;74,170;;74,170
08.01.2021;16:15;16:30;100,270;;100,270
08.01.2021;16:30;16:45;90,110;;90,110
08.01.2021;16:45;17:00;64,000;;64,000
08.01.2021;17:00;17:15;59,590;;59,590
08.01.2021;17:15;17:30;64,500;;64,500
08.01.2021;17:30;17:45;66,460;;66,460
08.01.2021;17:45;18:00;71,660;;71,660
08.01.2021;18:00;18:15;89,690;;89,690
08.01.2021;18:15;18:30;78,000;;78,000
08.01.2021;18:30;18:45;76,450;;76,450
08.01.2021;18:45;19:00;68,690;;68,690
08.01.2021;19:00;19:15;92,400;;92,400
08.01.2021;19:15;19:30;66,720;;66,720
08.01.2021;19:30;19:45;73,190;;73,190
08.01.2021;19:45;20:00;61,660;;61,660
08.01.2021;20:00;20:15;77,290;;77,290
08.01.2021;20:15;20:30;83,050;;83,050
08.01.2021;20:30;20:45;69,070;;69,070
08.01.2021;20:45;21:00;53,330;;53,330
08.01.2021;21:00;21:15;63,730;;63,730
08.01.2021;21:15;21:30;64,770;;64,770
08.01.2021;21:30;21:45;55,070;;55,070
08.01.2021;21:45;22:00;40,020;;40,020
08.01.2021;22:00;22:15;67,540;;67,540
08.01.2021;22:15;22:30;63,470;;63,470
08.01.2021;22:30;22:45;45,170;;45,170
08.01.2021;22:45;23:00;36,200;;36,200
08.01.2021;23:00;23:15;59,390;;59,390
08.01.2021;23:15;23:30;47,910;;47,910
08.01.2021;23:30;23:45;48,050;;48,050
08.01.2021;23:45;00:00;45,850;;45,850
